ID,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
546742975,Wii Sports,Wii,2006,Sports,Nintendo,Nintendo,E
630722136,Super Mario Bros.,NES,1985,Platform,Nintendo,,
877531749,Mario Kart Wii,Wii,2008,Racing,Nintendo,Nintendo,E
508762588,Wii Sports Resort,Wii,2009,Sports,Nintendo,Nintendo,E
274935314,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,,
155195871,Tetris,GB,1989,Puzzle,Nintendo,,
186253172,New Super Mario Bros.,DS,2006,Platform,Nintendo,Nintendo,E
207453130,Wii Play,Wii,2006,Misc,Nintendo,Nintendo,E
344713420,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,Nintendo,E
220024335,Duck Hunt,NES,1984,Shooter,Nintendo,,
403608326,Nintendogs,DS,2005,Simulation,Nintendo,,
770612087,Mario Kart DS,DS,2005,Racing,Nintendo,Nintendo,E
283930600,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,,
385243928,Wii Fit,Wii,2007,Sports,Nintendo,Nintendo,E
686800503,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,Good Science Studio,E
237488532,Wii Fit Plus,Wii,2009,Sports,Nintendo,Nintendo,E
414524882,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,Rockstar North,M
938316644,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,Rockstar North,M
191008099,Super Mario World,SNES,1990,Platform,Nintendo,,
686871809,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo,E
891238101,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,,
887160573,Super Mario Land,GB,1989,Platform,Nintendo,,
436927099,Super Mario Bros. 3,NES,1988,Platform,Nintendo,,
524450624,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,Rockstar North,M
978589541,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,Rockstar North,M
968077864,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,,
265175192,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,Nintendo,E
124150361,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,,
240249320,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,Polyphony Digital,E
671346551,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
321343295,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,,
934855567,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,,
